fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2019,709847,190176,,01/01/2019,12/31/2019,5,488545876.0,519130966.0,178784.0,,3935448.0,22275.0,215.0,17597.0,27763.02074217196
2019,709883,050006,,07/01/2019,06/30/2020,1,298307286.0,295753510.0,46482.0,,3067680.0,17435.0,,6380.0,46756.62789968652
2019,709889,092002,,01/01/2019,12/31/2019,6,50984822.0,48992290.0,21900.0,,,7437.0,4129.0,620.0,82233.58387096775
2019,709897,171307,,07/01/2019,06/30/2020,13,8056702.0,8268486.0,5490.0,,,919.0,,151.0,53355.64238410596
2019,709905,263301,,01/01/2019,12/31/2019,2,756778881.0,674209275.0,141985.0,,,309.0,8682.0,10913.0,69346.54824521214
2019,709916,344030,,01/01/2019,12/31/2019,4,21045088.0,16981716.0,14600.0,,,4204.0,5576.0,733.0,28710.897680763985
2019,709927,362020,,09/01/2019,08/31/2020,4,15383897.0,13547952.0,9516.0,,,3307.0,269.0,267.0,57617.59176029963
2019,709945,021303,,07/01/2019,07/31/2019,2,1324521.0,2726146.0,348.0,,,,,,
2019,709958,050697,,01/01/2019,12/31/2019,3,5441622.0,6040429.0,3650.0,,107756.0,178.0,,189.0,28791.650793650795
2019,709961,054032,,02/01/2019,01/31/2020,4,43641704.0,27182734.0,35405.0,,,3260.0,6006.0,5706.0,7648.3883631265335
2019,709962,054074,,01/01/2019,12/31/2019,1,27379144.0,30209537.0,22265.0,,,5849.0,3933.0,2944.0,9299.98097826087
2019,709966,151311,,01/01/2019,12/31/2019,2,40769888.0,39009425.0,9125.0,50400.0,,1397.0,13.0,595.0,68520.82016806722
2019,709970,174006,,07/01/2019,06/30/2020,10,4682882.0,70369289.0,36234.0,,,3375.0,1953.0,1000.0,4682.882
2019,709971,174022,,07/01/2019,06/30/2020,10,3826775.0,42505561.0,19764.0,,,3180.0,113.0,978.0,3912.857873210634
2019,709974,231311,,07/01/2019,06/30/2020,2,6718796.0,6925523.0,5490.0,2188.0,,166.0,,31.0,216735.35483870967
2019,709976,252013,,11/01/2018,10/31/2019,4,11799537.0,11566062.0,14235.0,,,6156.0,,267.0,44193.02247191011
2019,709978,264025,,07/01/2019,06/30/2020,10,12134354.0,18621385.0,18300.0,,,1569.0,982.0,72.0,168532.69444444444
2019,709981,362033,,09/01/2019,08/31/2020,4,21757160.0,22569115.0,24522.0,,,4206.0,714.0,473.0,45998.224101479915
2019,709990,452111,,12/01/2018,11/30/2019,5,12318801.0,11544530.0,6570.0,,,2577.0,,210.0,58660.95714285714
2019,709994,492009,,08/01/2019,07/31/2020,4,27056449.0,26409428.0,21960.0,,,7705.0,,544.0,49736.11948529412
2019,709995,494023,,02/01/2019,01/31/2020,4,48717039.0,42503788.0,42340.0,,,1996.0,,3461.0,14076.000866801502
2019,710000,524017,,01/01/2019,12/31/2019,9,55091828.0,79180905.0,5840.0,,,972.0,2667.0,814.0,67680.37837837837
2019,710002,670128,,01/15/2019,09/30/2019,2,15535837.0,22517792.0,6475.0,,109120.0,241.0,2.0,371.0,41875.57142857143
2019,710013,102023,,12/01/2018,11/30/2019,4,29214062.0,31612302.0,21900.0,,,8127.0,,554.0,52732.96389891697
2019,710014,104026,,01/01/2019,12/31/2019,4,24668958.0,22661702.0,66430.0,,,8480.0,,5886.0,4191.124362895005
2019,710027,344028,,01/01/2019,12/31/2019,1,17031041.0,20639033.0,20440.0,,,2264.0,7500.0,932.0,18273.6491416309
2019,710049,050735,,07/01/2019,06/30/2020,4,131442865.0,117451460.0,57096.0,,773212.0,4049.0,,6616.0,19867.422158403868
2019,710061,151316,,01/01/2019,12/31/2019,2,19854602.0,23024285.0,9125.0,28872.0,,890.0,2.0,339.0,58568.14749262537
2019,710065,190314,,09/01/2019,08/31/2020,2,,2627458.0,5124.0,,2816.0,147.0,,96.0,
2019,710067,210015,,07/01/2019,06/30/2020,2,579044390.0,549791920.0,123708.0,,6666660.0,34594.0,4565.0,17828.0,32479.492371550372
2019,710069,210034,,07/01/2019,06/30/2020,2,170064208.0,191265194.0,47946.0,,1959584.0,12482.0,1996.0,6666.0,25512.182418241824
