ccn,fac_name,change_year,prev_year,ownership_before,ownership_after,ctrl_type_before,ctrl_type_after,any_merger,treated,unaccounted_ownership_change
110115,WELLSTAR ATLANTA MEDICAL CENTER,2017,2016.0,for_profit,non_profit,4.0,2,0,1,0
110129,ST FRANCIS HOSPITAL,2016,2015.0,non_profit,for_profit,2.0,4,1,1,0
110163,PHOEBE NORTH,2012,2011.0,for_profit,government,4.0,8,0,1,0
110198,WELLSTAR NORTH FULTON HOSPITAL,2017,2016.0,for_profit,non_profit,4.0,2,0,1,0
110200,NORTHSIDE MEDICAL CENTER,2017,2016.0,for_profit,non_profit,4.0,2,0,1,0
110230,EMORY JOHNS CREEK HOSPITAL,2012,2011.0,for_profit,non_profit,4.0,2,0,0,1
110236,CORNERSTONE MEDICAL CENTER,2017,2016.0,for_profit,non_profit,6.0,2,0,1,0
111315,,2014,2013.0,government,for_profit,9.0,4,0,0,1
111326,SGMC LANIER CAMPUS,2015,2014.0,non_profit,government,2.0,8,0,1,0
112005,,2014,2013.0,non_profit,for_profit,2.0,4,0,0,1
112009,,2012,2011.0,for_profit,government,4.0,10,0,0,1
112009,,2013,2012.0,government,for_profit,10.0,4,0,0,1
112012,,2018,2017.0,non_profit,for_profit,2.0,5,0,0,1
112015,,2017,2016.0,non_profit,for_profit,1.0,4,0,0,1
114012,,2017,2016.0,non_profit,for_profit,2.0,5,0,0,1
120002,MAUI MEMORIAL MEDICAL CENTER,2016,2015.0,government,non_profit,10.0,1,0,1,0
123301,,2013,2012.0,for_profit,non_profit,6.0,2,0,0,1
123301,,2014,2013.0,non_profit,for_profit,2.0,4,0,0,1
123301,,2015,2014.0,for_profit,non_profit,4.0,2,0,0,1
130003,ST JOSEPH REGIONAL MEDICAL CENTER,2017,2016.0,non_profit,for_profit,1.0,4,1,1,0
130067,IDAHO DOCTORS HOSPITAL,2014,2013.0,for_profit,non_profit,5.0,2,0,0,1
130067,IDAHO DOCTORS HOSPITAL,2015,2014.0,non_profit,for_profit,2.0,5,0,0,1
131313,TETON VALLEY HOSPITAL,2014,2013.0,government,non_profit,9.0,2,0,0,1
140054,MACNEAL  HOSPITAL,2018,2017.0,for_profit,non_profit,4.0,1,1,1,0
140172,FRANCISCAN ST JAMES HEALTH,2014,2013.0,for_profit,non_profit,4.0,1,0,0,1
140251,COMMUNITY FIRST MEDICAL CENTER,2019,2018.0,non_profit,for_profit,3.0,4,0,1,0
142010,,2013,2012.0,for_profit,non_profit,5.0,2,0,0,1
143302,,2013,2012.0,for_profit,non_profit,6.0,2,0,0,1
143302,,2016,2015.0,non_profit,for_profit,1.0,6,0,0,1
144034,,2012,2011.0,non_profit,government,2.0,10,0,0,1
144039,,2016,2015.0,non_profit,for_profit,2.0,4,0,0,1
