fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2017,648398,264005,,07/01/2017,06/30/2018,10,57917615.0,68933810.0,120815.0,,,853.0,2384.0,35.0,1654789.0
2017,648433,161338,,07/01/2017,06/30/2018,1,13731049.0,14266173.0,9125.0,13152.0,,711.0,4.0,181.0,75862.14917127072
2017,648443,281320,,10/01/2016,09/30/2017,2,20720093.0,22476461.0,5110.0,15965.0,,1338.0,43.0,212.0,97736.28773584905
2017,648449,334026,,01/01/2017,12/31/2017,4,36230926.0,30267540.0,45260.0,,,9883.0,6061.0,2688.0,13478.767113095239
2017,648452,351312,,01/01/2017,12/31/2017,2,10830447.0,12220935.0,4380.0,3528.0,,1195.0,59.0,48.0,225634.3125
2017,648478,413025,,01/01/2017,12/31/2017,2,6139379.0,7874879.0,29930.0,,,2509.0,,359.0,17101.33426183844
2017,648569,371338,,11/18/2016,06/30/2017,13,2492162.0,3237140.0,4950.0,15216.0,,810.0,125.0,228.0,10930.535087719298
2017,648621,171361,,10/01/2016,09/30/2017,9,11760061.0,14247463.0,9125.0,39888.0,,2276.0,38.0,515.0,22835.069902912623
2017,648687,154009,,07/01/2017,06/30/2018,2,22475673.0,41334449.0,5840.0,,,1490.0,538.0,776.0,28963.496134020617
2017,648699,192031,,09/01/2017,08/31/2018,4,18208041.0,17156664.0,17155.0,,,13176.0,17.0,608.0,29947.435855263157
2017,648710,264025,,07/01/2017,06/30/2018,10,15540121.0,17483193.0,18250.0,,,1532.0,1127.0,77.0,201819.75324675324
2017,648716,284009,,07/01/2017,06/30/2018,9,33778717.0,49707839.0,5840.0,,,982.0,804.0,904.0,37365.83738938053
2017,648726,344014,,01/01/2017,12/31/2017,4,56042666.0,35585892.0,83220.0,,,13770.0,662.0,8384.0,6684.478291984733
2017,648727,354004,,10/01/2016,09/30/2017,4,38846814.0,32623084.0,40150.0,,,4270.0,1723.0,3375.0,11510.167111111112
2017,648769,451342,,10/01/2016,09/30/2017,9,13773405.0,17915337.0,9125.0,33888.0,,1809.0,,386.0,35682.396373056996
2017,648772,452041,,01/01/2017,12/31/2017,5,11867970.0,12810414.0,5840.0,,,4109.0,,249.0,47662.530120481926
2017,648854,313300,,01/01/2017,12/31/2017,2,,133967805.0,24888.0,,,24.0,3693.0,572.0,
2017,648949,264010,,07/01/2017,06/30/2018,10,32454467.0,38092125.0,65700.0,,,90.0,2579.0,46.0,705531.8913043478
2017,649125,264020,,07/01/2017,06/30/2018,2,5764052.0,15757533.0,14157.0,,,132.0,2344.0,1088.0,5297.841911764706
2017,649129,281334,,10/01/2016,09/30/2017,9,29087843.0,31301619.0,9125.0,47066.0,,2698.0,140.0,620.0,46915.875806451615
2017,649168,054053,,01/01/2017,12/31/2017,4,42918231.0,29989844.0,60590.0,,,10462.0,13950.0,6675.0,6429.697528089888
2017,649252,192037,,06/01/2017,05/31/2018,4,9840915.0,10203651.0,14600.0,,,6091.0,10.0,339.0,29029.24778761062
2017,649339,373035,,05/01/2017,04/30/2018,5,14299493.0,14176220.0,14965.0,,,8902.0,29.0,931.0,15359.283566058002
2017,649350,412001,,07/01/2017,06/30/2018,10,,118288571.0,180675.0,,,15.0,,196.0,
2017,649363,451326,,07/01/2017,06/30/2018,11,796015.0,1925624.0,7665.0,2127.57,,57.0,,26.0,30615.96153846154
2017,649366,452111,,12/01/2016,11/30/2017,5,4546244.0,7227082.0,22630.0,,,1243.0,,104.0,43713.88461538462
2017,649370,454127,,01/01/2017,12/31/2017,4,16830121.0,17005484.0,26280.0,,,2773.0,45.0,2303.0,7307.911854103343
2017,649372,463027,,01/01/2017,12/31/2017,4,8399884.0,12042801.0,14600.0,,,4836.0,,436.0,19265.788990825688
2017,649420,100175,,10/01/2016,09/30/2017,9,38752131.0,38759905.0,17885.0,,615552.0,1723.0,1116.0,1490.0,26008.141610738254
2017,649435,180043,,10/01/2016,09/30/2017,1,57004069.0,60331882.0,22995.0,,656152.0,3007.0,219.0,1804.0,31598.707871396895
2017,649483,371331,,10/01/2016,09/30/2017,3,7367221.0,11411907.0,5475.0,24396.0,,2029.0,125.0,304.0,24234.279605263157
2017,649508,451389,,02/24/2017,12/31/2017,10,13952566.0,22525811.0,7775.0,30936.0,,609.0,27.0,492.0,28358.87398373984
2017,649578,152020,,07/01/2017,06/30/2018,1,33603989.0,34715140.0,26280.0,,,9066.0,91.0,431.0,77967.49187935035
2017,649579,154031,,07/01/2017,06/30/2018,1,39299977.0,53604020.0,5840.0,,,1145.0,413.0,655.0,59999.964885496185
2017,649582,161319,,07/01/2017,06/30/2018,2,7385513.0,7859821.0,5475.0,7344.0,,603.0,,104.0,71014.54807692308
2017,649584,161378,,07/01/2017,06/30/2018,1,5031517.0,5952526.0,9125.0,1944.0,,627.0,,25.0,201260.68
2017,649604,224040,,07/01/2017,06/30/2018,10,,18442871.0,21900.0,,,1657.0,12384.0,310.0,
2017,649620,281308,,07/01/2017,06/30/2018,1,11834212.0,13103426.0,4745.0,7605.0,,737.0,25.0,98.0,120757.26530612246
2017,649685,494032,,01/01/2017,12/31/2017,4,14521348.0,15642223.0,20805.0,,,6659.0,,1959.0,7412.632976008167
2017,649736,164003,,07/01/2017,06/30/2018,10,,19906702.0,21900.0,,,1638.0,5127.0,159.0,
2017,649798,281347,,07/01/2017,06/30/2018,2,7576264.0,7602730.0,7300.0,8580.3,,597.0,5.0,112.0,67645.21428571429
2017,649800,282000,,07/01/2017,06/30/2018,1,132052592.0,141359245.0,31390.0,,,10381.0,,478.0,276260.65271966526
2017,649863,034020,,07/01/2017,06/30/2018,4,12644304.0,12225839.0,18615.0,,,6600.0,46.0,1228.0,10296.664495114006
2017,650136,161321,,07/01/2017,06/30/2018,2,9479741.0,9271607.0,5110.0,13384.0,,933.0,35.0,205.0,46242.63902439024
2017,650197,332022,,01/01/2017,12/31/2017,2,96027842.0,100543509.0,20220.0,,,,19909.0,8.0,12003480.25
2017,650212,451339,,01/01/2017,12/31/2017,9,2270938.0,4522901.0,5110.0,3648.0,,410.0,3.0,55.0,41289.781818181815
2017,650237,044007,,01/01/2017,12/31/2017,4,16930243.0,12152887.0,28105.0,,,3584.0,8349.0,3199.0,5292.354798374492
2017,650261,151315,,10/01/2016,09/30/2017,2,56505116.0,60198930.0,9125.0,75168.0,,1502.0,94.0,1256.0,44988.14968152866
2017,650291,262019,,07/01/2017,06/30/2018,2,11072168.0,10143538.0,14965.0,,,4610.0,1907.0,217.0,51023.81566820276
