fiscal_year,PRVDR_NUM,PRVDR_CTRL_TYPE_CD,total_operating_costs,total_discharges,cost_per_discharge,fac_name,hrrcode,merger_year,treated,years_to_merger
2011,351303,2,8279002.0,59.0,140322.06779661018,GARRISON MEMORIAL HOSPITAL,324.0,2014.0,1,-3.0
2011,171306,9,5249820.0,128.0,41014.21875,WICHITA COUNTY HEALTH CENTER,201.0,2016.0,1,-5.0
2011,341308,4,10843118.0,125.0,86744.944,YADKIN VALLEY COMMUNITY HOSPITAL,320.0,,0,
2011,171358,2,5774736.0,245.0,23570.351020408165,LINDSBORG COMMUNITY HOSPITAL,201.0,2015.0,1,-4.0
2011,171342,9,4698935.0,94.0,49988.67021276596,RUSH COUNTY MEMORIAL HOSPITAL,201.0,,0,
2011,281336,2,35970248.0,871.0,41297.64408725603,YORK GENERAL HOSPITAL,277.0,,0,
2011,521331,2,20047286.0,414.0,48423.3961352657,BURNETT MED CTR,251.0,,0,
2011,102025,4,22552711.0,495.0,45561.03232323232,,,,0,
2011,74014,2,32101192.0,1929.0,16641.3644375324,,,,0,
2011,241349,2,35414017.0,435.0,81411.53333333334,PAYNESVILLE AREA HOSPITAL,254.0,2013.0,1,-2.0
2011,281330,8,4980677.0,12.0,415056.4166666667,WARREN MEMORIAL HOSPITAL,277.0,,0,
2011,194082,4,5739668.0,261.0,21991.065134099616,,,,0,
2011,281334,9,23048858.0,616.0,37416.97727272727,BOONE COUNTY HEALTH CENTER,278.0,,0,
2011,131313,9,11749674.0,124.0,94755.43548387096,TETON VALLEY HOSPITAL AND SURGICENTER,152.0,,0,
2011,271343,2,24532299.0,521.0,47086.9462571977,PROVIDENCE ST JOSEPH MEDICAL CENTER,276.0,2016.0,1,-5.0
2011,51306,2,13075159.0,345.0,37899.0115942029,GLENN MEDICAL CENTER,31.0,,0,
2011,101304,9,8408723.0,478.0,17591.470711297072,CALHOUN-LIBERTY HOSPITAL INC,140.0,2016.0,1,-5.0
2011,171381,11,21562076.0,528.0,40837.26515151515,MEMORIAL HOSPITAL,200.0,,0,
2011,452092,4,18500169.0,599.0,30885.090150250417,,,,0,
2011,521321,2,14857662.0,553.0,26867.381555153708,RIPON MED CTR,452.0,2018.0,1,-7.0
