fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge,ccn,fac_name,hrrcode,merger_target,merger_of_equals,bankruptcy,system_exit,system_split,system_id_yr,any_merger,merger_year,treated,years_to_merger,post_merger,match_pair_id
2011,521152,231327,,04/01/2011,03/31/2012,2,45907629.0,45758471.0,9150.0,31875.4,,1323.0,38.0,711.0,64567.69198312237,231327,HAYES GREEN BEACH MEMORIAL HOSPITAL,239.0,0,0,0,0,0,121.0,0,2019.0,1,-8.0,0,894
2011,521153,521325,,10/01/2010,09/30/2011,2,19504078.0,18803600.0,8760.0,43416.0,,1109.0,124.0,646.0,30192.07120743034,521325,FLAMBEAU HSPTL,450.0,0,0,0,0,0,326.0,0,2013.0,1,-2.0,0,203
2011,521154,521328,,01/01/2011,12/31/2011,9,22773871.0,22465564.0,9125.0,39680.51,,1997.0,44.0,483.0,47150.87163561077,521328,RUSK COUNTY MEM HSPTL,450.0,0,0,0,0,0,1235.0,0,2018.0,1,-7.0,0,864
2011,521157,281307,,07/01/2011,06/30/2012,9,18171937.0,18516272.0,5856.0,13034.0,,1531.0,23.0,176.0,103249.64204545454,281307,SAUNDERS MEDICAL CENTER,278.0,0,0,0,0,0,1699.0,0,2015.0,1,-4.0,0,425
2011,521248,331304,,01/01/2011,12/31/2011,2,15344051.0,16041093.0,5475.0,26688.0,,1972.0,32.0,364.0,42153.98626373626,331304,MARGARETVILLE MEMORIAL HOSPITAL,295.0,0,0,0,0,0,328.0,0,2016.0,1,-5.0,0,559
2011,521249,161312,,07/01/2011,06/30/2012,12,10598739.0,10978647.0,9150.0,32100.0,,1506.0,130.0,402.0,26365.0223880597,161312,GUTTENBERG MUNICIPAL HOSPITAL,193.0,0,0,0,0,0,352.0,0,2017.0,1,-6.0,0,665
2011,521253,171360,,04/01/2011,03/31/2012,9,6014872.0,6844720.0,3294.0,18163.0,,2305.0,25.0,208.0,28917.653846153848,171360,LINCOLN COUNTY HOSPITAL,201.0,0,0,0,0,0,1758.0,0,,0,,0,424
2011,521258,231322,,04/01/2011,03/31/2012,2,30709894.0,35373803.0,9150.0,61200.0,,1024.0,426.0,912.0,33673.129385964916,231322,CHARLEVOIX AREA HOSPITAL,243.0,0,0,0,0,0,1157.0,0,2015.0,1,-4.0,0,417
2011,521319,261328,,04/01/2011,03/31/2012,2,14193177.0,14809795.0,9150.0,39336.0,,2718.0,121.0,741.0,19154.085020242914,261328,NORTHWEST MEDICAL CENTER,268.0,0,0,0,0,0,1584.0,0,2019.0,1,-8.0,0,902
2011,521340,271320,,04/01/2011,03/31/2012,2,27126296.0,28174137.0,9150.0,64608.0,,1952.0,395.0,1056.0,25687.780303030304,271320,ST JOHN'S LUTHERAN HOSPITAL,276.0,0,0,0,0,0,2237.0,0,,0,,0,298
